Property Found,2,238
Property Found,3,316
Property Found,4,306
Property Found,5,323
Property Found,6,365
Property Found,7,451
Property Found,8,485
Property Found,9,300
Property Found,10,280
Property Found,11,341
Property Found,12,260
Property Lost,1,645
Property Lost,2,670
Property Lost,3,756
Property Lost,4,743
Property Lost,5,794
Property Lost,6,1004
Property Lost,7,1075
Property Lost,8,1146
Property Lost,9,794
Property Lost,10,768
Property Lost,11,640
Property Lost,12,716
Property Related Damage,1,61
Property Related Damage,2,83
Property Related Damage,3,107
Property Related Damage,4,60
Property Related Damage,5,62
Property Related Damage,6,69
Property Related Damage,7,110
Property Related Damage,8,109
Property Related Damage,9,76
Property Related Damage,10,77
Property Related Damage,11,47
Property Related Damage,12,51
Prostitution,1,19
Prostitution,2,9
Prostitution,3,4
Prostitution,4,2
Prostitution,5,26
Prostitution,6,12
Prostitution,7,78
Prostitution,8,20
Prostitution,9,19
Prostitution,10,8
Prostitution,11,7
Prostitution,12,3
Recovered Stolen Property,1,108
Recovered Stolen Property,2,85
Recovered Stolen Property,3,83
Recovered Stolen Property,4,110
Recovered Stolen Property,5,122
Recovered Stolen Property,6,119
Recovered Stolen Property,7,192
Recovered Stolen Property,8,182
Recovered Stolen Property,9,116
Recovered Stolen Property,10,124
Recovered Stolen Property,11,107
Recovered Stolen Property,12,107
Residential Burglary,1,384
Residential Burglary,2,374
Residential Burglary,3,377
Residential Burglary,4,353
Residential Burglary,5,404
Residential Burglary,6,583
Residential Burglary,7,619
Residential Burglary,8,650
Residential Burglary,9,514
Residential Burglary,10,508
Residential Burglary,11,407
Residential Burglary,12,433
Restraining Order Violations,1,130
Restraining Order Violations,2,88
Restraining Order Violations,3,125
Restraining Order Violations,4,109
Restraining Order Violations,5,106
Restraining Order Violations,6,126
Restraining Order Violations,7,172
Restraining Order Violations,8,209
Restraining Order Violations,9,173
Restraining Order Violations,10,107
Restraining Order Violations,11,136
Restraining Order Violations,12,126
Robbery,1,388
Robbery,2,288
Robbery,3,310
Robbery,4,299
Robbery,5,340
Robbery,6,385
Robbery,7,491
Robbery,8,451
Robbery,9,413
Robbery,10,451
Robbery,11,387
Robbery,12,421
Search Warrants,1,91
Search Warrants,2,66
Search Warrants,3,94
Search Warrants,4,79
Search Warrants,5,46
Search Warrants,6,92
Search Warrants,7,83
Search Warrants,8,87
Search Warrants,9,95
Search Warrants,10,79
Search Warrants,11,76
Search Warrants,12,78
Service,1,8
Service,2,13
Service,3,11
Service,4,21
Service,5,27
Service,6,32
Service,7,44
Service,8,38
Service,9,30
Service,10,27
Service,11,15
Service,12,19
Simple Assault,1,1219
Simple Assault,2,992
Simple Assault,3,1170
Simple Assault,4,1291
Simple Assault,5,1432
Simple Assault,6,1559
Simple Assault,7,1708
Simple Assault,8,1675
Simple Assault,9,1176
Simple Assault,10,1241
Simple Assault,11,1187
